group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age,source_file
Medium Spiny Neurons,-0.013326019,0.012366811,0.135,0.865,0.135,0.135,False,Angptl4,21,Angptl4_casecontrol.csv
Oligodendrocyte Precursor Cells,0.012419625,0.011536749,0.854,0.146,0.146,0.1405,False,Angptl4,21,Angptl4_casecontrol.csv
Neurons,0.008861908,0.014205955,0.732,0.268,0.268,0.183,False,Angptl4,21,Angptl4_casecontrol.csv
Neural Stem Cells,0.009434652,0.018355116,0.693,0.307,0.307,0.214,False,Angptl4,21,Angptl4_casecontrol.csv
Excitatory Neurons,0.004559245,0.012282652,0.642,0.358,0.358,0.2428,False,Angptl4,21,Angptl4_casecontrol.csv
Endocrine Cells,0.00984262,0.03108692,0.634,0.366,0.366,0.2633333333333333,False,Angptl4,21,Angptl4_casecontrol.csv
Myocytes,0.0072900113,0.024663242,0.616,0.384,0.384,0.2805714285714286,False,Angptl4,21,Angptl4_casecontrol.csv
Astrocytes,0.0021064794,0.016019812,0.571,0.429,0.429,0.299125,False,Angptl4,21,Angptl4_casecontrol.csv
Microglia,-0.002573633,0.017940227,0.432,0.568,0.432,0.3138888888888889,False,Angptl4,21,Angptl4_casecontrol.csv
Oligodendrocytes,-0.001719481,0.01071656,0.452,0.548,0.452,0.3277,False,Angptl4,21,Angptl4_casecontrol.csv
GABAergic Neurons,-0.0024597815,0.018901294,0.47,0.53,0.47,0.3406363636363636,False,Angptl4,21,Angptl4_casecontrol.csv
Endothelial Cells,-0.002293033,0.031211136,0.471,0.529,0.471,0.3515,False,Angptl4,21,Angptl4_casecontrol.csv
Medium Spiny Neurons,-0.013699273,0.012369557,0.128,0.872,0.128,0.128,False,Acp5,21,Acp5_casecontrol.csv
Oligodendrocyte Precursor Cells,0.012293121,0.011529136,0.852,0.148,0.148,0.138,False,Acp5,21,Acp5_casecontrol.csv
Neurons,0.008973292,0.014207035,0.733,0.267,0.267,0.181,False,Acp5,21,Acp5_casecontrol.csv
Neural Stem Cells,0.008713899,0.018370874,0.68,0.32,0.32,0.21575,False,Acp5,21,Acp5_casecontrol.csv
Excitatory Neurons,0.0045735543,0.012282414,0.642,0.358,0.358,0.2442,False,Acp5,21,Acp5_casecontrol.csv
Myocytes,0.008661792,0.024673434,0.632,0.368,0.368,0.2648333333333333,False,Acp5,21,Acp5_casecontrol.csv
Endothelial Cells,-0.008322942,0.03127588,0.399,0.601,0.399,0.284,False,Acp5,21,Acp5_casecontrol.csv
Endocrine Cells,0.0065845083,0.03106115,0.592,0.408,0.408,0.2995,False,Acp5,21,Acp5_casecontrol.csv
Astrocytes,0.0022213953,0.015978998,0.573,0.427,0.427,0.3136666666666666,False,Acp5,21,Acp5_casecontrol.csv
Microglia,-0.0026665567,0.017938348,0.431,0.569,0.431,0.3254,False,Acp5,21,Acp5_casecontrol.csv
Oligodendrocytes,-0.0017738629,0.0107178325,0.45,0.55,0.45,0.3367272727272727,False,Acp5,21,Acp5_casecontrol.csv
GABAergic Neurons,-0.002280232,0.018899858,0.473,0.527,0.473,0.3480833333333333,False,Acp5,21,Acp5_casecontrol.csv
Medium Spiny Neurons,-0.013665031,0.012369902,0.128,0.872,0.128,0.128,False,Adgrg7,21,Adgrg7_casecontrol.csv
Oligodendrocyte Precursor Cells,0.012323874,0.011529025,0.853,0.147,0.147,0.1375,False,Adgrg7,21,Adgrg7_casecontrol.csv
Neurons,0.008990767,0.014208837,0.735,0.265,0.265,0.18,False,Adgrg7,21,Adgrg7_casecontrol.csv
Neural Stem Cells,0.008687464,0.01837147,0.68,0.32,0.32,0.215,False,Adgrg7,21,Adgrg7_casecontrol.csv
Excitatory Neurons,0.0045528384,0.012282183,0.642,0.358,0.358,0.2435999999999999,False,Adgrg7,21,Adgrg7_casecontrol.csv
Myocytes,0.009027096,0.024660662,0.638,0.362,0.362,0.2633333333333333,False,Adgrg7,21,Adgrg7_casecontrol.csv
Endocrine Cells,0.00723596,0.03106115,0.599,0.401,0.401,0.283,False,Adgrg7,21,Adgrg7_casecontrol.csv
Endothelial Cells,-0.008058374,0.0312815,0.401,0.599,0.401,0.29775,False,Adgrg7,21,Adgrg7_casecontrol.csv
Astrocytes,0.0023084148,0.015977617,0.576,0.424,0.424,0.3117777777777777,False,Adgrg7,21,Adgrg7_casecontrol.csv
Microglia,-0.0025410731,0.017939059,0.433,0.567,0.433,0.3238999999999999,False,Adgrg7,21,Adgrg7_casecontrol.csv
Oligodendrocytes,-0.0017398628,0.010718067,0.452,0.548,0.452,0.3355454545454545,False,Adgrg7,21,Adgrg7_casecontrol.csv
GABAergic Neurons,-0.0022892167,0.018899858,0.473,0.527,0.473,0.347,False,Adgrg7,21,Adgrg7_casecontrol.csv
Medium Spiny Neurons,-0.014331601,0.0122950785,0.117,0.883,0.117,0.117,False,Actr1a,21,Actr1a_casecontrol.csv
Oligodendrocyte Precursor Cells,0.01186316,0.011643482,0.84,0.16,0.16,0.1385,False,Actr1a,21,Actr1a_casecontrol.csv
Neurons,0.008628136,0.014122131,0.728,0.272,0.272,0.183,False,Actr1a,21,Actr1a_casecontrol.csv
Neural Stem Cells,0.0067307064,0.018227173,0.644,0.356,0.356,0.22625,False,Actr1a,21,Actr1a_casecontrol.csv
Excitatory Neurons,0.0041622217,0.01237406,0.628,0.372,0.372,0.2554,False,Actr1a,21,Actr1a_casecontrol.csv
Oligodendrocytes,-0.003463393,0.010617026,0.4,0.6,0.4,0.2795,False,Actr1a,21,Actr1a_casecontrol.csv
Endothelial Cells,-0.008114735,0.031206563,0.401,0.599,0.401,0.2968571428571429,False,Actr1a,21,Actr1a_casecontrol.csv
Microglia,-0.0028922434,0.017989537,0.427,0.573,0.427,0.313125,False,Actr1a,21,Actr1a_casecontrol.csv
Astrocytes,0.001244834,0.016061416,0.553,0.447,0.447,0.328,False,Actr1a,21,Actr1a_casecontrol.csv
Myocytes,0.0023103287,0.02469196,0.549,0.451,0.451,0.3403,False,Actr1a,21,Actr1a_casecontrol.csv
GABAergic Neurons,-0.0025858334,0.019036887,0.467,0.533,0.467,0.3518181818181818,False,Actr1a,21,Actr1a_casecontrol.csv
Endocrine Cells,-0.0022024966,0.031085309,0.478,0.522,0.478,0.3623333333333334,False,Actr1a,21,Actr1a_casecontrol.csv
Oligodendrocyte Precursor Cells,0.013041141,0.011724335,0.869,0.131,0.131,0.131,False,Acvr2a,21,Acvr2a_casecontrol.csv
Myocytes,0.026855858,0.024830613,0.856,0.144,0.144,0.1375,False,Acvr2a,21,Acvr2a_casecontrol.csv
Neurons,0.014863516,0.014003151,0.852,0.148,0.148,0.141,False,Acvr2a,21,Acvr2a_casecontrol.csv
Medium Spiny Neurons,-0.009707498,0.0121052405,0.213,0.787,0.213,0.159,False,Acvr2a,21,Acvr2a_casecontrol.csv
Endocrine Cells,0.012934691,0.031248434,0.667,0.333,0.333,0.1938,False,Acvr2a,21,Acvr2a_casecontrol.csv
Neural Stem Cells,0.006326409,0.01819123,0.638,0.362,0.362,0.2218333333333333,False,Acvr2a,21,Acvr2a_casecontrol.csv
Endothelial Cells,-0.009230771,0.031184612,0.393,0.607,0.393,0.2462857142857142,False,Acvr2a,21,Acvr2a_casecontrol.csv
GABAergic Neurons,-0.0048152437,0.01923851,0.413,0.587,0.413,0.267125,False,Acvr2a,21,Acvr2a_casecontrol.csv
Microglia,-0.0032138177,0.018002858,0.422,0.578,0.422,0.2843333333333333,False,Acvr2a,21,Acvr2a_casecontrol.csv
Astrocytes,0.001208069,0.016078146,0.552,0.448,0.448,0.3007,False,Acvr2a,21,Acvr2a_casecontrol.csv
Oligodendrocytes,-0.00109934,0.010671076,0.473,0.527,0.473,0.3163636363636363,False,Acvr2a,21,Acvr2a_casecontrol.csv
Excitatory Neurons,-0.00095325755,0.012548808,0.474,0.526,0.474,0.3294999999999999,False,Acvr2a,21,Acvr2a_casecontrol.csv
Oligodendrocyte Precursor Cells,0.013471524,0.01165289,0.877,0.123,0.123,0.123,False,Serpina3n,21,Serpina3n_casecontrol.csv
Medium Spiny Neurons,-0.012675333,0.012358342,0.147,0.853,0.147,0.135,False,Serpina3n,21,Serpina3n_casecontrol.csv
Neurons,0.0119664185,0.0141450325,0.8,0.2,0.2,0.1566666666666666,False,Serpina3n,21,Serpina3n_casecontrol.csv
Oligodendrocytes,0.0054319794,0.010672005,0.697,0.303,0.303,0.19325,False,Serpina3n,21,Serpina3n_casecontrol.csv
Myocytes,0.013418687,0.024682933,0.696,0.304,0.304,0.2153999999999999,False,Serpina3n,21,Serpina3n_casecontrol.csv
Astrocytes,0.0073862704,0.016155852,0.691,0.309,0.309,0.2309999999999999,False,Serpina3n,21,Serpina3n_casecontrol.csv
Excitatory Neurons,0.0059864623,0.012320295,0.683,0.317,0.317,0.2432857142857142,False,Serpina3n,21,Serpina3n_casecontrol.csv
